abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,other_beneficiaries_not_listed,other_beneficiaries_description,main_beneficiaries,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
92217117935,Colchester Park Pre School Inc,VIC,Small,TRUE,Other education,TRUE,0,4,0,25,2919,0,99924,0,0,102843,53355,0,0,0,51464,104819,-1976,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,102843,0,accurate,104819,0,accurate,29,1839.8275862068965,not excessive,0,2919,0.028383069338700738,balanced
92253071535,The Trustee For Victorian Actors Benevolent Fund,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,100,0,82661,15415,0,26027,124103,0,0,74081,0,7942,82023,42080,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,124103,0,accurate,82023,0,accurate,100,0,not excessive,0,0,0,balanced
92302947814,Florence Rd Pre School,VIC,Medium,TRUE,Other education,TRUE,1,8,0,0,163255,14235,187698,365188,4727,369915,243793,0,0,0,65748,309541,60374,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,369915,0,accurate,309541,0,accurate,9,27088.11111111111,not excessive,0,163255,0.4413311166078694,balanced
92359483854,Women's Leadership Institute Australia Inc,VIC,Medium,TRUE,Civic advocacy activities,TRUE,1,0,1,1,0,0,275100,275100,0,275100,88482,0,15311,27755,42960,174508,100592,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,275100,0,accurate,174508,0,accurate,3,29494,not excessive,0,0,0,balanced
92364682521,Indigenous Law Students And Lawyers Association Of Victoria Tarwirri Inc,VIC,Small,TRUE,Economic social community development,TRUE,0,1,1,12,3000,4377,79957,0,522,87856,55004,0,0,0,80532,135536,-47680,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,87856,0,accurate,135536,0,accurate,14,3928.8571428571427,not excessive,0,3000,0.03414678564924422,balanced
92365002163,Operation Hope Inc,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,20,0,44259,60633,0,0,104892,0,0,0,35360,21569,56929,47963,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,104892,0,accurate,56929,0,accurate,20,0,not excessive,0,0,0,balanced
92370950371,SisterWorks Incorporated,VIC,Medium,TRUE,Employment training,TRUE,0,4,0,71,18000,57957,255341,331298,0,331298,148925,0,0,0,51849,200774,130524,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,331298,0,accurate,200774,0,accurate,75,1985.6666666666667,not excessive,0,18000,0.05433174966344499,balanced
92378076308,Administrators For Ministries Inc,VIC,Small,TRUE,Social services,TRUE,0,0,0,10,0,6000,0,0,0,6000,0,0,5547,0,442,5989,11,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,6000,0,accurate,5989,0,accurate,10,0,not excessive,0,0,0,balanced
92400773302,Hepburn Regional Community Cheer,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,16,0,11765,11203,0,253,23221,0,0,0,0,23221,23221,0,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,23221,0,accurate,23221,0,accurate,16,0,not excessive,0,0,0,balanced
92420113277,Bridgingworx Limited,VIC,Medium,TRUE,Social services,TRUE,2,3,10,9,256025,16328,50717,323070,7293,330363,108959,0,28000,0,94503,231462,98901,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,330363,0,accurate,231462,0,accurate,24,4539.958333333333,not excessive,0,256025,0.7749808543935005,balanced
